# l = 1
# n = 2
# E = -0.12499976
# r	u(r)	R(r)	V(r)
0.00010000	0.00000000	0.00002039	-10000.00000000
0.00259999	0.00000138	0.00053007	-384.61612426
0.00509999	0.00000530	0.00103839	-196.07881584
0.00759998	0.00001175	0.00154546	-131.57920706
0.01009998	0.00002072	0.00205127	-99.01009705
0.01259997	0.00003220	0.00255582	-79.36523684
0.01509997	0.00004619	0.00305909	-66.22529714
0.01759996	0.00006268	0.00356111	-56.81829481
0.02009996	0.00008164	0.00406187	-49.75134279
0.02259995	0.00010309	0.00456137	-44.24787571
0.02509995	0.00012700	0.00505962	-39.84071681
0.02759994	0.00015336	0.00555662	-36.23195626
0.03009994	0.00018218	0.00605237	-33.22265759
0.03259993	0.00021343	0.00654686	-30.67490779
0.03509993	0.00024711	0.00704012	-28.49008531
0.03759992	0.00028321	0.00753213	-26.59579773
0.04009992	0.00032172	0.00802290	-24.93770561
0.04259991	0.00036263	0.00851244	-23.47422524
0.04509991	0.00040593	0.00900073	-22.17299325
0.04759990	0.00045162	0.00948780	-21.00844529
0.05009990	0.00049968	0.00997363	-19.96011968
0.05259989	0.00055010	0.01045824	-19.01144479
0.05509989	0.00060288	0.01094162	-18.14885656
0.05759988	0.00065801	0.01142377	-17.36114577
0.06009988	0.00071547	0.01190471	-16.63896833
0.06259987	0.00077526	0.01238442	-15.97447279
0.06509987	0.00083737	0.01286292	-15.36101378
0.06759986	0.00090180	0.01334020	-14.79292895
0.07009986	0.00096852	0.01381627	-14.26536373
0.07259985	0.00103753	0.01429113	-13.77413219
0.07509985	0.00110883	0.01476478	-13.31560582
0.07759984	0.00118241	0.01523722	-12.88662368
0.08009984	0.00125825	0.01570847	-12.48441944
0.08259983	0.00133634	0.01617851	-12.10656171
0.08509983	0.00141669	0.01664735	-11.75090479
0.08759982	0.00149927	0.01711499	-11.41554792
0.09009982	0.00158409	0.01758145	-11.09880131
0.09259981	0.00167112	0.01804671	-10.79915764
0.09509981	0.00176037	0.01851077	-10.51526812
0.09759980	0.00185183	0.01897366	-10.24592211
0.10009980	0.00194547	0.01943535	-9.99002995
0.10259979	0.00204131	0.01989586	-9.74660817
0.10509979	0.00213933	0.02035520	-9.51476687
0.10759978	0.00223951	0.02081335	-9.29369887
0.11009978	0.00234186	0.02127033	-9.08267028
