# Energia = 2.50078368
# x	psi(x)	V(x)
-10.00000000	0.00000000	3.00000000
-9.96000004	0.00001267	3.00000000
-9.92000008	0.00002536	3.00000000
-9.88000011	0.00003809	3.00000000
-9.84000015	0.00005089	3.00000000
-9.80000019	0.00006376	3.00000000
-9.76000023	0.00007674	3.00000000
-9.72000027	0.00008984	3.00000000
-9.68000031	0.00010308	2.99999976
-9.64000034	0.00011649	2.99999976
-9.60000038	0.00013008	2.99999976
-9.56000042	0.00014388	2.99999976
-9.52000046	0.00015791	2.99999976
-9.47999954	0.00017219	2.99999976
-9.43999958	0.00018675	2.99999976
-9.39999962	0.00020161	2.99999976
-9.35999966	0.00021679	2.99999976
-9.31999969	0.00023231	2.99999976
-9.27999973	0.00024821	2.99999976
-9.23999977	0.00026450	2.99999976
-9.19999981	0.00028122	2.99999976
-9.15999985	0.00029838	2.99999976
-9.11999989	0.00031602	2.99999952
-9.07999992	0.00033417	2.99999952
-9.03999996	0.00035285	2.99999952
-9.00000000	0.00037209	2.99999952
-8.96000004	0.00039193	2.99999952
-8.92000008	0.00041240	2.99999952
-8.88000011	0.00043352	2.99999952
-8.84000015	0.00045534	2.99999952
-8.80000019	0.00047788	2.99999952
-8.76000023	0.00050119	2.99999952
-8.72000027	0.00052530	2.99999928
-8.68000031	0.00055024	2.99999928
-8.64000034	0.00057607	2.99999928
-8.60000038	0.00060282	2.99999905
-8.56000042	0.00063053	2.99999905
-8.52000046	0.00065924	2.99999905
-8.47999954	0.00068901	2.99999905
-8.44000053	0.00071989	2.99999905
-8.39999962	0.00075191	2.99999881
-8.35999966	0.00078513	2.99999881
-8.31999969	0.00081961	2.99999857
-8.27999973	0.00085540	2.99999833
-8.23999977	0.00089255	2.99999833
-8.19999981	0.00093113	2.99999809
-8.15999985	0.00097120	2.99999809
-8.11999989	0.00101282	2.99999785
-8.07999992	0.00105605	2.99999762
-8.03999996	0.00110098	2.99999762
-8.00000000	0.00114766	2.99999738
-7.96000004	0.00119618	2.99999714
-7.92000008	0.00124661	2.99999666
-7.88000011	0.00129903	2.99999666
-7.84000015	0.00135353	2.99999619
-7.80000019	0.00141019	2.99999595
-7.76000023	0.00146910	2.99999571
-7.72000027	0.00153036	2.99999523
-7.68000031	0.00159406	2.99999475
-7.64000034	0.00166031	2.99999452
-7.60000038	0.00172922	2.99999380
